Time,#VotesDitto,%YesDitto,#VotesWachsman,%YesWachsman,,,,,,,,,,,,,,
1,122,22.1%,121,32.2%,,,,,,,,,,,,,,
2,439,73.6%,438,35.8%,,,,,,,,,,,,,,
3,684,81.6%,701,39.7%,,,,,,,,,,,,,,
4,869,83.3%,896,31.0%,,,,,,,,,,,,,,
5,1281,82.2%,1353,26.6%,,,,,,,,,,,,,,
6,1316,81.2%,1400,27.1%,,,,,,,,,,,,,,
7,1371,81.9%,1459,27.7%,,,,,,,,,,,,,,
8,1492,82.1%,1590,25.8%,,,,,,,,,,,,,,
9,1526,82.5%,1610,25.5%,,,,,,,,,,,,,,
10,1553,82.8%,1631,25.4%,,,,,,,,,,,,,,
11,1608,83.3%,1686,24.6%,,,,,,,,,,,,,,
12,1704,80.2%,1786,23.2%,,,,,,,,,,,,,,
13,1742,80.6%,1818,23.5%,,,,,,,,,,,,,,
14,1782,80.0%,1858,23.1%,,,,,,,,,,,,,,
15,1800,80.2%,1875,22.9%,,,,,,,,,,,,,,
16,1817,80.4%,1900,22.6%,,,,,,,,,,,,,,
17,1840,80.6%,1946,22.0%,,,,,,,,,,,,,,
18,1970,76.0%,2113,20.3%,,,,,,,,,,,,,,
19,1988,76.3%,2161,19.9%,,,,,,,,,,,,,,
20,2106,76.4%,2253,19.8%,,,,,,,,,,,,,,
21,2281,72.7%,2414,19.6%,,,,,,,,,,,,,,
22,2353,73.5%,2417,19.7%,,,,,,,,,,,,,,168
23,2398,73.4%,2451,19.4%,,,,,,,,,,,,,,
24,2490,71.7%,2540,18.7%,,,,,,,,,,,,,,
25,2522,71.5%,2579,18.5%,,,,,,,,,,,,,,
26,3043,59.4%,3116,31.4%,,,,,,,,,,,,,,
27,3063,59.6%,3135,31.2%,,,,,,,,,,,,,,
28,3083,59.9%,3166,30.9%,,,,,,,,,,,,,,
29,3301,56.5%,3382,28.9%,,,,,,,,,,,,,,
30,3385,55.8%,3467,28.8%,,,,,,,,,,,,,,
31,3431,55.6%,3528,28.3%,,,,,,,,,,,,,,
32,3466,55.4%,3611,27.7%,,,,,,,,,,,,,,
33,3547,56.4%,3691,28.6%,,,,,,,,,,,,,,
34,3571,56.7%,3712,28.4%,,,,,,,,,,,,,,
35,3602,57.1%,3737,28.3%,,,,,,,,,,,,,,
36,3646,57.6%,3756,28.1%,,,,,,,,,,,,,,
37,3678,58.0%,3785,28.2%,,,,,,,,,,,,,,
38,3703,58.3%,3808,28.0%,,,,,,,,,,,,,,
39,3788,59.2%,3853,27.7%,,,,,,,,,,,,,,
40,3807,59.4%,3873,27.5%,,,,,,,,,,,,,,
41,3837,59.7%,3906,27.3%,,,,,,,,,,,,,,
42,3891,60.2%,3930,27.1%,,,,,,,,,,,,,,
43,3950,59.8%,4015,27.3%,,,,,,,,,,,,,,
44,3975,60.1%,4035,27.1%,,,,,,,,,,,,,,
45,4137,61.6%,4176,26.2%,,,,,,,,,,,,,,
46,4161,61.8%,4211,26.3%,,,,,,,,,,,,,,
47,4230,62.3%,4228,26.2%,,,,,,,,,,,,,,
48,4251,62.5%,4244,26.1%,,,,,,,,,,,,,,
49,4256,62.5%,4258,26.0%,,,,,,,,,,,,,,
50,9003,81.9%,8974,12.3%,,,,,,,,,,,,,,
51,9037,82.0%,8992,12.3%,,,,,,,,,,,,,,
52,9097,81.6%,8999,12.3%,,,,,,,,,,,,,,
53,9154,81.4%,9006,12.3%,,,,,,,,,,,,,,
54,9202,81.2%,9007,12.3%,,,,,,,,,,,,,,
55,9253,81.1%,9044,12.2%,,,,,,,,,,,,,,
56,9334,80.9%,9062,12.4%,,,,,,,,,,,,,,
